CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg,TreeCoverLoss_ha_std,GrossEmissions_Co2_all_gases_Mg_std
AND,2022,14.742405015975237,3073.185522072017,8.20392167678916,46.297257606165836
AND,2023,13.539157145190984,3085.304429344833,8.733398822414165,46.346578783467066
AND,2024,12.242502873763442,3097.6607950031757,9.151183238657271,46.399827403797715
AND,2025,11.234128929674625,3110.0171612873673,9.453019380225713,46.45703677638717
AND,2026,10.640546947717667,3122.373527571559,9.671913523685879,46.518192288206464
AND,2027,10.405330675188452,3134.7298938706517,9.843664152474949,46.5832783975334
AND,2028,10.405005869455636,3147.0862601473927,9.993586455340568,46.65227865325809
AND,2029,10.529510491527617,3159.442626439035,10.136368333404617,46.72517571502505
AND,2030,10.709369814489037,3171.7989927232265,10.279397584408049,46.801951374236744
ARG,2020,197671.9831175804,59965529.333847046,4.466581604419369,4.46528790318129
