CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg,TreeCoverLoss_ha_std,GrossEmissions_Co2_all_gases_Mg_std
BES,2023,1.9237512974068522,1646.5267277383246,2.974072640249304,43.46359337194985
BES,2024,1.9211435839533806,1256.4282635140698,2.9741871889398523,47.23494616713493
BES,2025,1.918535870499909,1003.5885088148061,2.974301789737529,49.06012204590638
BES,2026,1.9159281570464373,862.6833348528016,2.974416442871143,49.91733089635477
BES,2027,1.9133204463869333,794.4674333857838,2.974531148021545,50.32559763531584
BES,2028,1.9107127310708165,765.4676904163789,2.9746459054175323,50.53648699601104
BES,2029,1.9081050185486674,754.6424376699142,2.9747607149747894,50.66630508682724
BES,2030,1.9054973060265183,751.3559298352338,2.9748755768438087,50.765999736559294
BGD,2020,459.31858001847286,267524.79890692234,4.4668482573484996,4.466898212171561
BGD,2021,370.1277676987229,215308.82826280594,45.95159500658978,46.171508389183764
